logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.5 3.0 0.008 8.272 9.991 3.18 0.351 60.231 100.0 736.715 278.28 3.233 0.001 55.993 27.396 8.749 0.156 0.054 15.517 0.014 0.045 30.314
-1.0 3.0 0.008 8.272 11.309 5.583 0.661 79.679 100.0 879.649 277.507 1.741 0.001 39.489 23.743 8.703 0.077 0.034 15.425 0.009 0.028 30.027
-4.0 3.0 0.01 8.369 6.11 0.0 0.055 3.872 100.0 5.168 280.783 74.847 2.513 24.262 33.05 8.907 2.093 3.651 15.86 0.966 3.088 31.233
-3.5 3.0 0.01 8.369 7.88 0.011 0.077 11.332 100.0 44.239 280.261 75.575 0.692 47.153 37.324 8.858 1.827 1.872 15.759 0.495 1.583 30.968
-3.0 3.0 0.01 8.369 8.986 0.237 0.092 21.039 100.0 205.663 279.921 53.11 0.148 68.499 38.746 8.844 1.384 0.794 15.724 0.21 0.672 30.878
-2.5 3.0 0.01 8.369 9.598 1.004 0.113 28.255 100.0 428.113 279.842 25.718 0.027 78.317 36.813 8.853 0.832 0.303 15.735 0.08 0.256 30.903
-2.0 3.0 0.01 8.369 10.29 1.761 0.157 36.071 100.0 598.717 279.555 10.766 0.005 78.015 31.982 8.852 0.42 0.127 15.725 0.034 0.107 30.854
-1.5 3.0 0.01 8.369 11.606 2.963 0.255 48.344 100.0 738.024 278.845 4.804 0.001 67.492 26.559 8.825 0.203 0.067 15.668 0.018 0.057 30.673
-1.0 3.0 0.01 8.369 13.825 5.486 0.49 68.31 100.0 900.091 278.063 2.633 0.001 50.91 23.69 8.778 0.107 0.043 15.574 0.011 0.037 30.366
-4.0 3.0 0.014 8.515 6.254 0.0 0.028 2.475 100.0 3.865 281.24 108.993 2.88 27.16 29.937 8.995 2.605 4.973 16.033 1.316 4.206 31.65
-3.5 3.0 0.014 8.515 8.198 0.007 0.041 6.973 100.0 32.44 280.866 110.944 0.817 52.803 34.199 8.956 2.277 2.653 15.951 0.702 2.244 31.432
-3.0 3.0 0.014 8.515 9.713 0.171 0.05 13.093 100.0 161.612 280.679 83.201 0.186 77.944 35.78 8.944 1.751 1.142 15.925 0.302 0.966 31.366
-2.5 3.0 0.014 8.515 10.825 0.93 0.063 17.625 100.0 369.409 280.785 43.532 0.037 90.189 34.245 8.96 1.08 0.433 15.95 0.115 0.366 31.427
-2.0 3.0 0.014 8.515 12.123 1.707 0.09 22.664 100.0 551.41 280.563 19.322 0.008 92.236 30.114 8.962 0.57 0.18 15.952 0.048 0.152 31.405
-1.5 3.0 0.014 8.515 14.396 3.029 0.153 31.568 100.0 712.117 279.925 8.888 0.002 85.147 25.789 8.937 0.296 0.097 15.899 0.026 0.082 31.223
-1.0 3.0 0.014 8.515 18.282 6.097 0.304 48.138 100.0 902.432 279.167 4.991 0.001 70.122 24.07 8.89 0.167 0.065 15.806 0.017 0.055 30.884
-4.0 3.0 0.02 8.67 6.491 0.0 0.008 1.086 100.0 2.064 282.408 151.891 3.009 27.35 25.514 9.111 3.115 6.735 16.273 1.782 5.697 32.243
-3.5 3.0 0.02 8.67 8.64 0.003 0.013 2.998 100.0 17.0 282.129 157.323 0.893 54.028 29.712 9.079 2.745 3.854 16.205 1.02 3.26 32.059
-3.0 3.0 0.02 8.67 10.578 0.072 0.016 6.017 100.0 94.743 281.899 130.357 0.225 83.624 31.687 9.065 2.18 1.743 16.174 0.461 1.474 31.977
-2.5 3.0 0.02 8.67 12.252 0.682 0.021 8.663 100.0 258.932 281.928 78.226 0.051 101.182 31.136 9.078 1.408 0.681 16.193 0.18 0.576 32.02
-2.0 3.0 0.02 8.67 14.477 1.661 0.031 11.863 100.0 440.294 281.84 38.486 0.012 107.406 28.373 9.084 0.781 0.276 16.206 0.073 0.234 32.022
-1.5 3.0 0.02 8.67 18.301 3.299 0.056 17.279 100.0 621.666 281.454 18.262 0.004 106.62 25.28 9.067 0.437 0.148 16.171 0.039 0.125 31.859
